duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label,difficulty
0,tcp,telnet,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,128.0,0.5,0.01,0.0,0.0,0.0,0.0,0.66,0.32,mscan,9
0,tcp,smtp,SF,616.0,330.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,255,129.0,0.51,0.03,0.0,0.0,0.0,0.0,0.33,0.0,normal,18
0,tcp,private,REJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,2,0.0,0.0,1.0,1.0,0.02,0.07,0.0,255,2.0,0.01,0.07,0.0,0.0,0.0,0.0,1.0,1.0,neptune,21
0,tcp,telnet,S0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120,120,1.0,1.0,0.0,0.0,1.0,0.0,0.0,235,171.0,0.73,0.07,0.0,0.0,0.69,0.95,0.02,0.0,neptune,18
37,tcp,telnet,SF,773.0,364200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,38,73.0,0.16,0.05,0.03,0.04,0.0,0.77,0.0,0.07,normal,14
0,tcp,http,SF,350.0,3610.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,71,255.0,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0,normal,21
0,tcp,http,SF,213.0,659.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,24,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
0,tcp,http,SF,246.0,2090.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35,255.0,1.0,0.0,0.03,0.05,0.0,0.0,0.0,0.0,normal,21
0,udp,private,SF,45.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505,505,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,normal,15
0,tcp,private,REJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204,18,0.0,0.0,1.0,1.0,0.09,0.07,0.0,255,18.0,0.07,0.07,0.0,0.0,0.0,0.0,1.0,1.0,neptune,21
0,tcp,ldap,REJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118,19,0.0,0.0,1.0,1.0,0.16,0.05,0.0,255,19.0,0.07,0.05,0.0,0.0,0.0,0.0,1.0,1.0,neptune,21
0,tcp,pop_3,S0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,255,87.0,0.34,0.01,0.01,0.0,1.0,1.0,0.0,0.0,mscan,18
0,tcp,http,SF,196.0,1823.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,17,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
0,tcp,http,SF,277.0,1816.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,18,0.0,0.0,0.0,0.0,1.0,0.0,0.11,36,255.0,1.0,0.0,0.03,0.02,0.0,0.0,0.0,0.0,normal,21
0,tcp,courier,REJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116,8,0.0,0.0,1.0,1.0,0.07,0.07,0.0,255,8.0,0.03,0.06,0.0,0.0,0.0,0.0,1.0,1.0,neptune,18
0,tcp,discard,RSTO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273,13,0.0,0.0,1.0,1.0,0.05,0.06,0.0,255,13.0,0.05,0.06,0.0,0.0,0.0,0.0,1.0,1.0,neptune,20
0,tcp,http,SF,294.0,6442.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,46,0.0,0.0,0.0,0.0,1.0,0.0,0.11,180,255.0,1.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,normal,21
0,tcp,http,SF,300.0,440.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
0,icmp,ecr_i,SF,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511,511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46,59.0,1.0,0.0,1.0,0.14,0.0,0.0,0.0,0.0,smurf,18
0,udp,private,SF,54.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511,511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255.0,1.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,normal,17
805,tcp,http,RSTR,76944.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,12,0.0,0.0,1.0,1.0,1.0,0.0,0.0,241,238.0,0.99,0.01,0.0,0.0,0.0,0.0,0.07,0.07,apache2,14
0,tcp,smtp,SF,720.0,281.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,158,82.0,0.52,0.06,0.01,0.0,0.01,0.0,0.0,0.0,normal,21
0,tcp,http,SF,301.0,19794.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20,255.0,1.0,0.0,0.05,0.02,0.05,0.0,0.0,0.0,normal,21
0,udp,private,SF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,3,0.0,0.0,0.0,0.0,0.08,0.38,0.0,255,3.0,0.01,0.58,0.99,0.0,0.0,0.0,0.01,0.0,normal,1
0,tcp,private,REJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483,1,0.05,0.0,0.92,1.0,0.0,1.0,0.0,255,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.96,1.0,satan,19
0,tcp,imap4,RSTO,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,0.0,1.0,1.0,0.5,1.0,1.0,185,59.0,0.24,0.03,0.01,0.03,0.01,0.0,0.89,0.95,mscan,14
0,tcp,http,SF,209.0,12894.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
8,tcp,ftp,SF,220.0,688.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,53,27.0,0.51,0.08,0.02,0.0,0.0,0.0,0.0,0.0,buffer_overflow,1
0,udp,domain_u,SF,43.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113,113,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,254.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,normal,20
0,tcp,ftp_data,SF,88382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,203,114.0,0.38,0.01,0.38,0.02,0.0,0.0,0.0,0.0,normal,21
0,tcp,private,S0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144,8,1.0,1.0,0.0,0.0,0.06,0.06,0.0,255,8.0,0.03,0.06,0.0,0.0,1.0,1.0,0.0,0.0,neptune,21
0,tcp,http,SF,277.0,4968.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13,255.0,1.0,0.0,0.08,0.01,0.0,0.0,0.0,0.0,normal,21
0,tcp,http,SF,321.0,2715.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,37,0.03,0.05,0.0,0.0,1.0,0.0,0.08,29,255.0,1.0,0.0,0.03,0.04,0.03,0.0,0.0,0.0,normal,21
0,tcp,http,SF,335.0,3228.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,50,0.0,0.0,0.0,0.0,1.0,0.0,0.04,255,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
0,tcp,mtp,REJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266,8,0.0,0.0,1.0,1.0,0.03,0.06,0.0,255,8.0,0.03,0.06,0.0,0.0,0.0,0.0,1.0,1.0,neptune,20
0,tcp,http,SF,234.0,3236.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,21,0.0,0.0,0.0,0.0,1.0,0.0,0.1,255,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
0,tcp,systat,S0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281,6,1.0,1.0,0.0,0.0,0.02,0.06,0.0,255,6.0,0.02,0.07,0.0,0.0,1.0,1.0,0.0,0.0,neptune,19
0,tcp,http,SF,54540.0,8314.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,24,0.0,0.0,0.0,0.0,1.0,0.0,0.08,255,250.0,0.98,0.01,0.0,0.0,0.0,0.0,0.06,0.06,back,12
0,tcp,telnet,S0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12,1.0,0.33,0.0,0.67,1.0,0.0,0.92,91,86.0,0.34,0.03,0.01,0.03,1.0,1.0,0.0,0.0,mscan,18
0,udp,private,SF,46.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,68,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255.0,1.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,normal,14
0,tcp,http,SF,318.0,488.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,16,0.0,0.0,0.0,0.0,1.0,0.0,0.12,3,156.0,1.0,0.0,0.33,0.04,0.0,0.01,0.0,0.0,normal,21
0,tcp,http,SF,256.0,4926.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,41,0.0,0.0,0.0,0.0,1.0,0.0,0.07,255,241.0,0.95,0.02,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
0,tcp,iso_tsap,REJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239,7,0.0,0.0,1.0,1.0,0.03,0.06,0.0,255,7.0,0.03,0.07,0.0,0.0,0.0,0.0,1.0,1.0,neptune,20
0,tcp,private,REJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201,3,0.0,0.0,1.0,1.0,0.01,0.08,0.0,255,3.0,0.01,0.08,0.0,0.0,0.0,0.0,1.0,1.0,neptune,21
282,tcp,ftp,SF,160.0,599.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,37.0,0.15,0.02,0.0,0.0,0.0,0.0,0.44,0.0,warezmaster,13
0,tcp,http,SF,229.0,509.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21,255.0,1.0,0.0,0.05,0.04,0.0,0.0,0.0,0.0,normal,21
0,tcp,imap4,REJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,8,0.0,0.0,1.0,1.0,0.03,0.06,0.0,255,8.0,0.03,0.06,0.0,0.0,0.0,0.0,1.0,1.0,neptune,18
0,udp,private,SF,105.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,9.0,1.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,snmpgetattack,3
7428,tcp,telnet,SF,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,217.0,0.85,0.03,0.0,0.0,0.33,0.39,0.12,0.06,processtable,18
0,tcp,http,SF,282.0,396.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
4,tcp,pop_3,SF,28.0,93.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,249.0,0.98,0.02,0.0,0.0,0.0,0.0,0.0,0.0,guess_passwd,18
280,tcp,ftp_data,SF,283618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,10.0,0.86,0.29,0.86,0.2,0.0,0.0,0.0,0.0,warezmaster,9
0,tcp,http,SF,233.0,2239.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,197.0,0.77,0.02,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
0,tcp,http,SF,257.0,8712.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,20,0.0,0.0,0.0,0.0,1.0,0.0,0.2,255,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
0,tcp,other,REJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412,1,0.15,0.0,0.83,1.0,0.0,1.0,0.0,255,1.0,0.0,0.96,0.0,0.0,0.1,0.0,0.89,1.0,satan,17
0,tcp,http,SF,214.0,645.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
0,tcp,telnet,REJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,0.0,0.0,1.0,1.0,0.25,1.0,0.83,106,85.0,0.29,0.05,0.01,0.02,0.02,0.0,0.91,0.67,mscan,15
0,tcp,private,REJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109,13,0.0,0.0,1.0,1.0,0.12,0.06,0.0,255,13.0,0.05,0.07,0.0,0.0,0.0,0.0,1.0,1.0,neptune,21
0,tcp,smtp,S0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114,1,1.0,1.0,0.0,0.0,0.01,0.06,0.0,255,1.0,0.0,0.05,0.0,0.0,1.0,1.0,0.0,0.0,neptune,20
0,tcp,http,SF,203.0,651.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
0,tcp,private,REJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216,14,0.0,0.0,1.0,1.0,0.06,0.06,0.0,255,14.0,0.05,0.07,0.0,0.0,0.0,0.0,1.0,1.0,neptune,21
0,tcp,smtp,SF,0.0,83.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,61,146.0,0.8,0.07,0.02,0.01,0.0,0.0,0.0,0.01,normal,21
0,tcp,http,SF,307.0,484.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,255.0,1.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0,normal,21
0,tcp,http,SF,320.0,1667.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,30,0.0,0.0,0.0,0.0,1.0,0.0,0.17,85,253.0,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0,normal,21
0,tcp,csnet_ns,REJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251,3,0.0,0.0,1.0,1.0,0.01,0.06,0.0,255,3.0,0.01,0.06,0.0,0.0,0.0,0.0,1.0,1.0,neptune,19
0,tcp,http,SF,215.0,430.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40,255.0,1.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0,normal,21
0,tcp,http,SF,358.0,3691.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,81,255.0,1.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,normal,21
8092,tcp,telnet,SF,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,67.0,0.26,0.03,0.0,0.0,0.0,0.01,0.11,0.19,processtable,8
0,tcp,http,SF,270.0,1332.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7,255.0,1.0,0.0,0.14,0.04,0.0,0.0,0.0,0.0,normal,21
0,tcp,http,SF,337.0,283.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,29,0.0,0.0,0.0,0.0,1.0,0.0,0.1,255,255.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal,21
0,tcp,private,REJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267,19,0.01,0.0,0.99,1.0,0.07,0.06,0.0,255,19.0,0.07,0.06,0.0,0.0,0.01,0.0,0.99,1.0,neptune,21
0,tcp,private,REJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231,6,0.0,0.0,1.0,1.0,0.03,0.07,0.0,255,6.0,0.02,0.07,0.0,0.0,0.0,0.0,1.0,1.0,neptune,21
0,icmp,ecr_i,SF,1480.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,25.0,1.0,0.0,1.0,0.52,0.0,0.0,0.0,0.0,pod,17
